"","x"
"ENSMUSG00000021745",5
"ENSMUSG00000021747",556
"ENSMUSG00000021748",24056
"ENSMUSG00000021749",0
"ENSMUSG00000021750",0
"ENSMUSG00000021751",4
"ENSMUSG00000021752",995
"ENSMUSG00000021754",15279
"ENSMUSG00000021756",6453
"ENSMUSG00000021758",46313
"ENSMUSG00000021759",27
"ENSMUSG00000021760",2
"ENSMUSG00000021763",3
"ENSMUSG00000021764",11497
"ENSMUSG00000021765",0
"ENSMUSG00000021767",7484
"ENSMUSG00000021768",4
"ENSMUSG00000021770",4111
"ENSMUSG00000021771",62136
"ENSMUSG00000021772",1629
"ENSMUSG00000021773",1688
"ENSMUSG00000021774",4194
"ENSMUSG00000021775",1970
"ENSMUSG00000021779",2607
"ENSMUSG00000021782",0
"ENSMUSG00000021785",8265
"ENSMUSG00000021786",7764
"ENSMUSG00000021789",0
"ENSMUSG00000021790",0
"ENSMUSG00000021791",0
"ENSMUSG00000021792",500
"ENSMUSG00000021794",25951
"ENSMUSG00000021795",1
"ENSMUSG00000021796",476
"ENSMUSG00000021797",0
"ENSMUSG00000021798",3
"ENSMUSG00000021799",0
"ENSMUSG00000021803",0
"ENSMUSG00000021804",0
"ENSMUSG00000021806",1893
"ENSMUSG00000021807",18822
"ENSMUSG00000021809",3956
"ENSMUSG00000021810",18711
"ENSMUSG00000021811",23334
"ENSMUSG00000021814",13278
"ENSMUSG00000021815",475
"ENSMUSG00000021816",14323
"ENSMUSG00000021819",6394
"ENSMUSG00000021820",7546
"ENSMUSG00000021822",430
"ENSMUSG00000021823",8832
"ENSMUSG00000021824",7024
"ENSMUSG00000021830",1477
"ENSMUSG00000021831",24042
"ENSMUSG00000021832",46726
"ENSMUSG00000021835",1
"ENSMUSG00000021838",31
"ENSMUSG00000021840",15618
"ENSMUSG00000021843",12702
"ENSMUSG00000021846",17
"ENSMUSG00000021848",1
"ENSMUSG00000021850",33
"ENSMUSG00000021852",8
"ENSMUSG00000021866",1840
"ENSMUSG00000021867",0
"ENSMUSG00000021868",13017
"ENSMUSG00000021870",14314
"ENSMUSG00000021871",0
"ENSMUSG00000021872",13
"ENSMUSG00000021874",181
"ENSMUSG00000021876",6876
"ENSMUSG00000021877",49183
"ENSMUSG00000021879",13
"ENSMUSG00000021880",29
"ENSMUSG00000021884",604
"ENSMUSG00000021886",5380
"ENSMUSG00000021890",8303
"ENSMUSG00000021891",13427
"ENSMUSG00000021892",2799
"ENSMUSG00000021893",16112
"ENSMUSG00000021895",10013
"ENSMUSG00000021898",95
"ENSMUSG00000021900",3729
"ENSMUSG00000021901",12023
"ENSMUSG00000021902",3953
"ENSMUSG00000021903",0
"ENSMUSG00000021904",218
"ENSMUSG00000021905",8124
"ENSMUSG00000021906",2888
"ENSMUSG00000021907",1
"ENSMUSG00000021908",170
"ENSMUSG00000021910",79055
"ENSMUSG00000021911",10639
"ENSMUSG00000021913",120
"ENSMUSG00000021916",7105
"ENSMUSG00000021917",21214
"ENSMUSG00000021918",4729
"ENSMUSG00000021919",0
"ENSMUSG00000021922",3
"ENSMUSG00000021927",21
"ENSMUSG00000021928",5376
"ENSMUSG00000021929",23356
"ENSMUSG00000021930",5744
"ENSMUSG00000021932",14443
"ENSMUSG00000021933",5
"ENSMUSG00000021936",10709
"ENSMUSG00000021938",9842
"ENSMUSG00000021939",23119
"ENSMUSG00000021940",0
"ENSMUSG00000021943",0
"ENSMUSG00000021944",0
"ENSMUSG00000021945",18365
"ENSMUSG00000021947",6631
"ENSMUSG00000021948",30590
"ENSMUSG00000021950",0
"ENSMUSG00000021951",6441
"ENSMUSG00000021952",17357
"ENSMUSG00000021953",1
"ENSMUSG00000021957",86066
"ENSMUSG00000021958",3555
"ENSMUSG00000021959",2471
"ENSMUSG00000021961",0
"ENSMUSG00000021962",9064
"ENSMUSG00000021963",6088
"ENSMUSG00000021965",6993
"ENSMUSG00000021966",9
"ENSMUSG00000021967",13405
"ENSMUSG00000021969",21110
"ENSMUSG00000021972",14922
"ENSMUSG00000021973",12237
"ENSMUSG00000021974",1
"ENSMUSG00000021975",13925
"ENSMUSG00000021977",0
"ENSMUSG00000021978",7663
"ENSMUSG00000021981",14656
"ENSMUSG00000021982",7350
"ENSMUSG00000021983",40
"ENSMUSG00000021986",23
"ENSMUSG00000021987",7693
"ENSMUSG00000021990",9098
"ENSMUSG00000021991",1
"ENSMUSG00000021993",6893
"ENSMUSG00000021994",0
"ENSMUSG00000021996",20385
"ENSMUSG00000021997",19
"ENSMUSG00000021998",78495
"ENSMUSG00000021999",5
"ENSMUSG00000022000",12359
"ENSMUSG00000022002",0
"ENSMUSG00000022003",4254
"ENSMUSG00000022008",10756
"ENSMUSG00000022009",9249
"ENSMUSG00000022010",9386
"ENSMUSG00000022012",0
"ENSMUSG00000022013",7998
"ENSMUSG00000022014",3127
"ENSMUSG00000022015",9
"ENSMUSG00000022016",14662
"ENSMUSG00000022018",4650
"ENSMUSG00000022019",7420
"ENSMUSG00000022020",11392
"ENSMUSG00000022021",10912
"ENSMUSG00000022022",4293
"ENSMUSG00000022023",8568
"ENSMUSG00000022024",16003
"ENSMUSG00000022025",2
"ENSMUSG00000022026",0
"ENSMUSG00000022031",18213
"ENSMUSG00000022032",0
"ENSMUSG00000022033",19248
"ENSMUSG00000022034",6706
"ENSMUSG00000022035",7778
"ENSMUSG00000022037",477
"ENSMUSG00000022039",0
"ENSMUSG00000022040",1
"ENSMUSG00000022041",264
"ENSMUSG00000022043",16925
"ENSMUSG00000022044",1
"ENSMUSG00000022048",11930
"ENSMUSG00000022051",4963
"ENSMUSG00000022052",12762
"ENSMUSG00000022053",0
"ENSMUSG00000022054",2
"ENSMUSG00000022055",0
"ENSMUSG00000022056",0
"ENSMUSG00000022057",0
"ENSMUSG00000022061",2
"ENSMUSG00000022064",7336
"ENSMUSG00000022066",0
"ENSMUSG00000022070",13799
"ENSMUSG00000022074",239
"ENSMUSG00000022075",8367
"ENSMUSG00000022076",1
"ENSMUSG00000022085",0
"ENSMUSG00000022089",9503
"ENSMUSG00000022090",4400
"ENSMUSG00000022091",105
"ENSMUSG00000022092",2965
"ENSMUSG00000022094",2296
"ENSMUSG00000022095",6222
"ENSMUSG00000022096",35
"ENSMUSG00000022097",0
"ENSMUSG00000022098",45
"ENSMUSG00000022099",61
"ENSMUSG00000022100",26027
"ENSMUSG00000022101",3
"ENSMUSG00000022102",16658
"ENSMUSG00000022103",3234
"ENSMUSG00000022105",5514
"ENSMUSG00000022106",9015
"ENSMUSG00000022108",128104
"ENSMUSG00000022109",9087
"ENSMUSG00000022110",19267
"ENSMUSG00000022111",8165
"ENSMUSG00000022112",1
"ENSMUSG00000022113",0
"ENSMUSG00000022114",1327
"ENSMUSG00000022116",0
"ENSMUSG00000022119",27049
"ENSMUSG00000022120",7781
"ENSMUSG00000022122",38
"ENSMUSG00000022123",0
"ENSMUSG00000022124",4734
"ENSMUSG00000022125",7037
"ENSMUSG00000022126",4
"ENSMUSG00000022129",1
"ENSMUSG00000022130",2691
"ENSMUSG00000022131",3178
"ENSMUSG00000022132",2
"ENSMUSG00000022136",26102
"ENSMUSG00000022139",16751
"ENSMUSG00000022141",42692
"ENSMUSG00000022142",32247
"ENSMUSG00000022144",57
"ENSMUSG00000022146",2
"ENSMUSG00000022148",651
"ENSMUSG00000022149",0
"ENSMUSG00000022150",3169
"ENSMUSG00000022151",9469
"ENSMUSG00000022155",0
"ENSMUSG00000022156",6
"ENSMUSG00000022157",6444
"ENSMUSG00000022159",1061
"ENSMUSG00000022160",6812
"ENSMUSG00000022174",27300
"ENSMUSG00000022175",19336
"ENSMUSG00000022176",202
"ENSMUSG00000022177",16342
"ENSMUSG00000022178",966
"ENSMUSG00000022179",1370
"ENSMUSG00000022180",713
"ENSMUSG00000022181",0
"ENSMUSG00000022184",1965
"ENSMUSG00000022185",28221
"ENSMUSG00000022186",40088
"ENSMUSG00000022187",0
"ENSMUSG00000022191",11703
"ENSMUSG00000022193",17535
"ENSMUSG00000022194",5079
"ENSMUSG00000022195",7685
"ENSMUSG00000022197",267
"ENSMUSG00000022199",294
"ENSMUSG00000022200",10377
"ENSMUSG00000022201",26953
"ENSMUSG00000022203",4
"ENSMUSG00000022204",11351
"ENSMUSG00000022205",27436
"ENSMUSG00000022206",21
"ENSMUSG00000022208",5
"ENSMUSG00000022209",2
"ENSMUSG00000022210",3870
"ENSMUSG00000022211",39
"ENSMUSG00000022212",0
"ENSMUSG00000022214",9506
"ENSMUSG00000022215",1
"ENSMUSG00000022216",31419
"ENSMUSG00000022217",380
"ENSMUSG00000022218",127
"ENSMUSG00000022219",11
"ENSMUSG00000022220",43
"ENSMUSG00000022221",13770
"ENSMUSG00000022223",828
"ENSMUSG00000022225",1
"ENSMUSG00000022226",2
"ENSMUSG00000022227",0
"ENSMUSG00000022228",3242
"ENSMUSG00000022229",0
"ENSMUSG00000022231",2
"ENSMUSG00000022234",122391
"ENSMUSG00000022235",65
"ENSMUSG00000022236",1350
"ENSMUSG00000022237",31
"ENSMUSG00000022240",2
"ENSMUSG00000022241",26958
"ENSMUSG00000022243",0
"ENSMUSG00000022244",935
"ENSMUSG00000022245",177
"ENSMUSG00000022246",2115
"ENSMUSG00000022247",21805
"ENSMUSG00000022248",4937
"ENSMUSG00000022249",2
"ENSMUSG00000022253",4730
"ENSMUSG00000022255",53089
"ENSMUSG00000022257",258
"ENSMUSG00000022261",0
"ENSMUSG00000022262",0
"ENSMUSG00000022263",5138
"ENSMUSG00000022265",9212
"ENSMUSG00000022269",0
"ENSMUSG00000022270",2229
"ENSMUSG00000022272",151
"ENSMUSG00000022280",3398
"ENSMUSG00000022283",299457
"ENSMUSG00000022285",36674
"ENSMUSG00000022286",3
"ENSMUSG00000022288",0
"ENSMUSG00000022292",1262
"ENSMUSG00000022295",14648
"ENSMUSG00000022296",3
"ENSMUSG00000022297",418
"ENSMUSG00000022299",5051
"ENSMUSG00000022300",16428
"ENSMUSG00000022303",1
"ENSMUSG00000022304",0
"ENSMUSG00000022305",1476
"ENSMUSG00000022306",0
"ENSMUSG00000022307",15686
"ENSMUSG00000022309",69115
"ENSMUSG00000022311",1
"ENSMUSG00000022312",44862
"ENSMUSG00000022313",2756
"ENSMUSG00000022314",21359
"ENSMUSG00000022315",1
"ENSMUSG00000022321",2
"ENSMUSG00000022322",12716
"ENSMUSG00000022323",3688
"ENSMUSG00000022324",75
"ENSMUSG00000022325",6683
"ENSMUSG00000022329",5747
"ENSMUSG00000022330",4
"ENSMUSG00000022332",47
"ENSMUSG00000022335",2493
"ENSMUSG00000022336",56719
"ENSMUSG00000022337",11126
"ENSMUSG00000022338",10617
"ENSMUSG00000022339",3029
"ENSMUSG00000022340",4
"ENSMUSG00000022342",3
"ENSMUSG00000022346",73551
"ENSMUSG00000022347",1
"ENSMUSG00000022350",13487
"ENSMUSG00000022351",15911
"ENSMUSG00000022353",7505
"ENSMUSG00000022354",15118
"ENSMUSG00000022357",0
"ENSMUSG00000022358",719
"ENSMUSG00000022359",5081
"ENSMUSG00000022360",37908
"ENSMUSG00000022361",19596
"ENSMUSG00000022362",109
"ENSMUSG00000022364",12439
"ENSMUSG00000022365",13856
"ENSMUSG00000022366",0
"ENSMUSG00000022367",2
"ENSMUSG00000022369",4444
"ENSMUSG00000022370",15124
"ENSMUSG00000022371",36
"ENSMUSG00000022372",21818
"ENSMUSG00000022375",1
"ENSMUSG00000022376",496
"ENSMUSG00000022377",16531
"ENSMUSG00000022378",62367
"ENSMUSG00000022382",1
"ENSMUSG00000022383",3
"ENSMUSG00000022385",6749
"ENSMUSG00000022386",2811
"ENSMUSG00000022387",21849
"ENSMUSG00000022388",0
"ENSMUSG00000022389",5642
"ENSMUSG00000022390",33219
"ENSMUSG00000022391",24331
"ENSMUSG00000022394",9907
"ENSMUSG00000022400",16473
"ENSMUSG00000022401",4481
"ENSMUSG00000022403",44253
"ENSMUSG00000022404",12435
"ENSMUSG00000022407",26734
"ENSMUSG00000022408",0
"ENSMUSG00000022412",14380
"ENSMUSG00000022414",3784
"ENSMUSG00000022415",171
"ENSMUSG00000022416",8
"ENSMUSG00000022419",532
"ENSMUSG00000022420",5584
"ENSMUSG00000022421",328
"ENSMUSG00000022422",5799
"ENSMUSG00000022425",0
"ENSMUSG00000022426",9491
"ENSMUSG00000022427",20207
"ENSMUSG00000022428",4394
"ENSMUSG00000022429",3
"ENSMUSG00000022431",0
"ENSMUSG00000022432",13
"ENSMUSG00000022433",12990
"ENSMUSG00000022434",3193
"ENSMUSG00000022435",0
"ENSMUSG00000022436",535
"ENSMUSG00000022437",24127
"ENSMUSG00000022438",133
"ENSMUSG00000022439",83650
"ENSMUSG00000022440",418
"ENSMUSG00000022441",0
"ENSMUSG00000022442",1005
"ENSMUSG00000022443",78908
"ENSMUSG00000022445",5
"ENSMUSG00000022449",432
"ENSMUSG00000022450",17011
"ENSMUSG00000022451",3950
"ENSMUSG00000022452",15795
"ENSMUSG00000022453",4184
"ENSMUSG00000022454",0
"ENSMUSG00000022455",0
"ENSMUSG00000022456",18
"ENSMUSG00000022462",39273
"ENSMUSG00000022463",31092
"ENSMUSG00000022464",11
"ENSMUSG00000022466",5881
"ENSMUSG00000022468",150
"ENSMUSG00000022469",913
"ENSMUSG00000022471",15391
"ENSMUSG00000022472",7925
"ENSMUSG00000022474",2161
"ENSMUSG00000022475",7909
"ENSMUSG00000022476",13228
"ENSMUSG00000022477",40133
"ENSMUSG00000022479",698
"ENSMUSG00000022483",4
"ENSMUSG00000022484",0
"ENSMUSG00000022485",0
"ENSMUSG00000022487",0
"ENSMUSG00000022488",55118
"ENSMUSG00000022489",6874
"ENSMUSG00000022490",237
"ENSMUSG00000022491",2
"ENSMUSG00000022494",0
"ENSMUSG00000022496",9
"ENSMUSG00000022498",13304
"ENSMUSG00000022500",18669
"ENSMUSG00000022501",4
"ENSMUSG00000022503",7257
"ENSMUSG00000022504",48
"ENSMUSG00000022505",11
"ENSMUSG00000022507",3159
"ENSMUSG00000022508",528
"ENSMUSG00000022510",0
"ENSMUSG00000022512",1
"ENSMUSG00000022514",1310
"ENSMUSG00000022515",6768
"ENSMUSG00000022516",7050
"ENSMUSG00000022517",10727
"ENSMUSG00000022518",275
"ENSMUSG00000022519",2279
"ENSMUSG00000022521",30119
"ENSMUSG00000022523",35
"ENSMUSG00000022525",0
"ENSMUSG00000022526",3334
"ENSMUSG00000022528",36
"ENSMUSG00000022529",9876
"ENSMUSG00000022533",38908
"ENSMUSG00000022534",20
"ENSMUSG00000022536",38046
"ENSMUSG00000022537",228
"ENSMUSG00000022538",18038
"ENSMUSG00000022540",5084
"ENSMUSG00000022542",0
"ENSMUSG00000022543",524
"ENSMUSG00000022544",7466
"ENSMUSG00000022545",5227
"ENSMUSG00000022546",1340
"ENSMUSG00000022548",4
"ENSMUSG00000022550",5766
"ENSMUSG00000022551",42713
"ENSMUSG00000022552",9543
"ENSMUSG00000022553",17172
"ENSMUSG00000022554",4234
"ENSMUSG00000022555",7181
"ENSMUSG00000022556",13735
"ENSMUSG00000022557",20096
"ENSMUSG00000022558",5303
"ENSMUSG00000022559",10525
"ENSMUSG00000022560",5684
"ENSMUSG00000022561",15571
"ENSMUSG00000022562",211
"ENSMUSG00000022564",5096
"ENSMUSG00000022565",27913
"ENSMUSG00000022568",8854
"ENSMUSG00000022570",11792
"ENSMUSG00000022571",11488
"ENSMUSG00000022574",66
"ENSMUSG00000022575",10559
"ENSMUSG00000022577",0
"ENSMUSG00000022579",1
"ENSMUSG00000022580",0
"ENSMUSG00000022582",0
"ENSMUSG00000022583",0
"ENSMUSG00000022584",7
"ENSMUSG00000022586",9
"ENSMUSG00000022587",89950
"ENSMUSG00000022589",0
"ENSMUSG00000022591",0
"ENSMUSG00000022594",2
"ENSMUSG00000022595",0
"ENSMUSG00000022596",5
"ENSMUSG00000022598",1
"ENSMUSG00000022601",8961
"ENSMUSG00000022602",4
"ENSMUSG00000022603",0
"ENSMUSG00000022604",9586
"ENSMUSG00000022607",192
"ENSMUSG00000022610",12
"ENSMUSG00000022613",0
"ENSMUSG00000022614",8032
"ENSMUSG00000022615",199
"ENSMUSG00000022617",617
"ENSMUSG00000022619",0
"ENSMUSG00000022620",5201
"ENSMUSG00000022621",1401
"ENSMUSG00000022622",3
"ENSMUSG00000022623",152
"ENSMUSG00000022629",0
"ENSMUSG00000022634",11839
"ENSMUSG00000022635",10988
"ENSMUSG00000022636",200
"ENSMUSG00000022637",15149
"ENSMUSG00000022639",1178
"ENSMUSG00000022641",28713
"ENSMUSG00000022650",17
"ENSMUSG00000022651",10
"ENSMUSG00000022652",12
"ENSMUSG00000022656",4
"ENSMUSG00000022657",0
"ENSMUSG00000022658",30
"ENSMUSG00000022659",491
"ENSMUSG00000022661",63
"ENSMUSG00000022663",18655
"ENSMUSG00000022664",3104
"ENSMUSG00000022665",371
"ENSMUSG00000022667",6265
"ENSMUSG00000022668",4859
"ENSMUSG00000022671",2919
"ENSMUSG00000022672",24907
"ENSMUSG00000022673",45479
"ENSMUSG00000022674",1440
"ENSMUSG00000022676",0
"ENSMUSG00000022677",13545
"ENSMUSG00000022678",20750
"ENSMUSG00000022679",438
"ENSMUSG00000022680",17057
"ENSMUSG00000022681",9152
"ENSMUSG00000022682",14410
"ENSMUSG00000022683",16
"ENSMUSG00000022684",17179
"ENSMUSG00000022685",11613
"ENSMUSG00000022686",4074
"ENSMUSG00000022687",3
"ENSMUSG00000022696",6
"ENSMUSG00000022698",28590
"ENSMUSG00000022701",4056
"ENSMUSG00000022702",2426
"ENSMUSG00000022704",6445
"ENSMUSG00000022705",0
"ENSMUSG00000022706",12314
"ENSMUSG00000022707",4739
"ENSMUSG00000022708",8858
"ENSMUSG00000022710",29135
"ENSMUSG00000022711",16283
"ENSMUSG00000022715",0
"ENSMUSG00000022718",11008
"ENSMUSG00000022721",20054
"ENSMUSG00000022722",1917
"ENSMUSG00000022723",2675
"ENSMUSG00000022724",7688
"ENSMUSG00000022738",1
"ENSMUSG00000022742",3734
"ENSMUSG00000022744",7740
"ENSMUSG00000022747",1212
"ENSMUSG00000022748",7196
"ENSMUSG00000022749",6789
"ENSMUSG00000022750",5936
"ENSMUSG00000022751",7988
"ENSMUSG00000022752",39474
"ENSMUSG00000022753",27
"ENSMUSG00000022754",0
"ENSMUSG00000022755",695
"ENSMUSG00000022756",808
"ENSMUSG00000022757",19095
"ENSMUSG00000022758",8
"ENSMUSG00000022759",4
"ENSMUSG00000022760",3596
"ENSMUSG00000022761",6468
"ENSMUSG00000022762",135
"ENSMUSG00000022763",10
"ENSMUSG00000022765",8213
"ENSMUSG00000022766",253
"ENSMUSG00000022768",567
"ENSMUSG00000022769",15052
"ENSMUSG00000022770",5691
"ENSMUSG00000022771",18996
"ENSMUSG00000022772",11861
"ENSMUSG00000022773",1940
"ENSMUSG00000022774",22342
"ENSMUSG00000022779",24656
"ENSMUSG00000022780",35
"ENSMUSG00000022781",17199
"ENSMUSG00000022783",116
"ENSMUSG00000022787",2500
"ENSMUSG00000022788",28216
"ENSMUSG00000022789",27150
"ENSMUSG00000022790",10
"ENSMUSG00000022791",5830
"ENSMUSG00000022792",10148
"ENSMUSG00000022793",30272
"ENSMUSG00000022797",87321
"ENSMUSG00000022798",0
"ENSMUSG00000022799",7082
"ENSMUSG00000022800",15463
"ENSMUSG00000022801",6150
"ENSMUSG00000022802",1257
"ENSMUSG00000022803",27
"ENSMUSG00000022805",2
"ENSMUSG00000022807",3874
"ENSMUSG00000022808",16600
"ENSMUSG00000022809",3
"ENSMUSG00000022811",19036
"ENSMUSG00000022812",16145
"ENSMUSG00000022814",28381
"ENSMUSG00000022816",56
"ENSMUSG00000022817",6922
"ENSMUSG00000022818",5
"ENSMUSG00000022820",1930
"ENSMUSG00000022821",14
"ENSMUSG00000022822",6451
"ENSMUSG00000022824",13722
"ENSMUSG00000022827",3767
"ENSMUSG00000022828",7259
"ENSMUSG00000022829",4
"ENSMUSG00000022831",16480
"ENSMUSG00000022832",0
"ENSMUSG00000022833",4146
"ENSMUSG00000022836",16
"ENSMUSG00000022837",1917
"ENSMUSG00000022838",47
"ENSMUSG00000022840",100
"ENSMUSG00000022841",5884
"ENSMUSG00000022842",16
"ENSMUSG00000022843",305
"ENSMUSG00000022844",2246
"ENSMUSG00000022847",1
"ENSMUSG00000022848",27069
"ENSMUSG00000022849",10887
"ENSMUSG00000022853",0
"ENSMUSG00000022855",10430
"ENSMUSG00000022856",3414
"ENSMUSG00000022857",0
"ENSMUSG00000022858",21905
"ENSMUSG00000022860",1
"ENSMUSG00000022861",7474
"ENSMUSG00000022863",538
"ENSMUSG00000022864",17290
"ENSMUSG00000022865",653
"ENSMUSG00000022867",17379
"ENSMUSG00000022868",0
"ENSMUSG00000022871",10
"ENSMUSG00000022875",0
"ENSMUSG00000022876",107976
"ENSMUSG00000022877",0
"ENSMUSG00000022878",1
"ENSMUSG00000022881",16813
"ENSMUSG00000022883",2
"ENSMUSG00000022884",29235
"ENSMUSG00000022885",174
"ENSMUSG00000022886",0
"ENSMUSG00000022887",2
"ENSMUSG00000022889",11466
"ENSMUSG00000022890",24322
"ENSMUSG00000022892",10
"ENSMUSG00000022893",1
"ENSMUSG00000022894",2
"ENSMUSG00000022895",3767
"ENSMUSG00000022897",14504
"ENSMUSG00000022898",8766
"ENSMUSG00000022899",0
"ENSMUSG00000022900",0
"ENSMUSG00000022901",16
"ENSMUSG00000022902",0
"ENSMUSG00000022905",15587
"ENSMUSG00000022906",5974
"ENSMUSG00000022911",1207
"ENSMUSG00000022912",1
"ENSMUSG00000022913",16034
"ENSMUSG00000022914",10699
"ENSMUSG00000022931",0
"ENSMUSG00000022935",1
"ENSMUSG00000022938",16
"ENSMUSG00000022940",2912
"ENSMUSG00000022941",16
"ENSMUSG00000022945",23627
"ENSMUSG00000022946",5420
"ENSMUSG00000022947",1579
"ENSMUSG00000022948",1750
"ENSMUSG00000022949",23
"ENSMUSG00000022951",1742
"ENSMUSG00000022952",16516
"ENSMUSG00000022956",17555
"ENSMUSG00000022957",4816
"ENSMUSG00000022960",2169
"ENSMUSG00000022961",115711
"ENSMUSG00000022962",40289
"ENSMUSG00000022964",7972
"ENSMUSG00000022965",6059
"ENSMUSG00000022967",17294
"ENSMUSG00000022969",14122
"ENSMUSG00000022971",14838
"ENSMUSG00000022972",2370
"ENSMUSG00000022973",8476
"ENSMUSG00000022974",9436
"ENSMUSG00000022978",6128
"ENSMUSG00000022982",13638
"ENSMUSG00000022983",16892
"ENSMUSG00000022986",0
"ENSMUSG00000022987",0
"ENSMUSG00000022991",0
"ENSMUSG00000022992",2722
"ENSMUSG00000022993",8
"ENSMUSG00000022994",1016
"ENSMUSG00000022995",16
"ENSMUSG00000022996",25
"ENSMUSG00000022997",1
"ENSMUSG00000022999",1284
"ENSMUSG00000023000",7
"ENSMUSG00000023004",29790
"ENSMUSG00000023007",3011
"ENSMUSG00000023008",6441
"ENSMUSG00000023009",1597
"ENSMUSG00000023010",28643
"ENSMUSG00000023011",1
"ENSMUSG00000023013",0
"ENSMUSG00000023015",22305
"ENSMUSG00000023017",80
"ENSMUSG00000023018",8909
"ENSMUSG00000023019",159
"ENSMUSG00000023020",11172
"ENSMUSG00000023021",19422
"ENSMUSG00000023022",2326
"ENSMUSG00000023025",15405
"ENSMUSG00000023026",25236
"ENSMUSG00000023027",6051
"ENSMUSG00000023030",4651
"ENSMUSG00000023031",1290
"ENSMUSG00000023032",144
"ENSMUSG00000023033",12
"ENSMUSG00000023034",1812
"ENSMUSG00000023036",616
"ENSMUSG00000023039",249
"ENSMUSG00000023041",0
"ENSMUSG00000023043",0
"ENSMUSG00000023044",4105
"ENSMUSG00000023045",101
"ENSMUSG00000023046",10
"ENSMUSG00000023047",3
"ENSMUSG00000023048",7374
"ENSMUSG00000023050",5469
"ENSMUSG00000023051",3204
"ENSMUSG00000023052",120
"ENSMUSG00000023055",5604
"ENSMUSG00000023057",0
"ENSMUSG00000023064",0
"ENSMUSG00000023066",13761
"ENSMUSG00000023067",13562
"ENSMUSG00000023068",6601
"ENSMUSG00000023070",0
"ENSMUSG00000023072",6503
"ENSMUSG00000023073",0
"ENSMUSG00000023074",3003
"ENSMUSG00000023075",4417
"ENSMUSG00000023078",1
"ENSMUSG00000023079",3204
"ENSMUSG00000023083",4
"ENSMUSG00000023084",69
"ENSMUSG00000023087",3954
"ENSMUSG00000023088",28118
"ENSMUSG00000023089",8151
"ENSMUSG00000023092",0
"ENSMUSG00000023093",0
"ENSMUSG00000023094",3796
"ENSMUSG00000023104",39083
"ENSMUSG00000023106",21149
"ENSMUSG00000023110",28977
"ENSMUSG00000023118",26677
"ENSMUSG00000023120",0
"ENSMUSG00000023122",0
"ENSMUSG00000023132",0
"ENSMUSG00000023140",0
"ENSMUSG00000023143",7150
"ENSMUSG00000023147",5768
"ENSMUSG00000023150",71799
"ENSMUSG00000023151",6
"ENSMUSG00000023153",0
"ENSMUSG00000023156",15898
"ENSMUSG00000023159",0
"ENSMUSG00000023165",0
"ENSMUSG00000023169",83795
"ENSMUSG00000023170",9318
"ENSMUSG00000023175",61200
"ENSMUSG00000023176",0
"ENSMUSG00000023185",0
"ENSMUSG00000023186",5100
"ENSMUSG00000023191",203
"ENSMUSG00000023192",0
"ENSMUSG00000023206",5163
"ENSMUSG00000023210",0
"ENSMUSG00000023216",19
"ENSMUSG00000023224",0
"ENSMUSG00000023232",12
"ENSMUSG00000023235",4611
"ENSMUSG00000023236",57
"ENSMUSG00000023243",51
"ENSMUSG00000023247",12
"ENSMUSG00000023249",1777
"ENSMUSG00000023257",0
"ENSMUSG00000023259",619
"ENSMUSG00000023262",8911
"ENSMUSG00000023263",0
"ENSMUSG00000023266",58
"ENSMUSG00000023267",13
"ENSMUSG00000023272",14708
"ENSMUSG00000023274",5
"ENSMUSG00000023277",14393
"ENSMUSG00000023279",0
"ENSMUSG00000023284",758
"ENSMUSG00000023286",8499
"ENSMUSG00000023289",0
"ENSMUSG00000023307",9596
"ENSMUSG00000023328",57
"ENSMUSG00000023330",3988
"ENSMUSG00000023333",1
"ENSMUSG00000023336",0
"ENSMUSG00000023341",61
"ENSMUSG00000023345",6810
"ENSMUSG00000023348",682
"ENSMUSG00000023349",8
"ENSMUSG00000023350",2
"ENSMUSG00000023353",5582
"ENSMUSG00000023367",2200
"ENSMUSG00000023387",0
"ENSMUSG00000023391",0
"ENSMUSG00000023393",9337
"ENSMUSG00000023403",3
"ENSMUSG00000023411",4
"ENSMUSG00000023433",0
"ENSMUSG00000023439",19
"ENSMUSG00000023443",2
"ENSMUSG00000023452",3247
"ENSMUSG00000023456",123959
"ENSMUSG00000023460",5188
"ENSMUSG00000023467",78
"ENSMUSG00000023473",1421
"ENSMUSG00000023484",25
"ENSMUSG00000023495",797
"ENSMUSG00000023505",18794
"ENSMUSG00000023571",3496
"ENSMUSG00000023572",5584
"ENSMUSG00000023577",1
"ENSMUSG00000023707",4739
"ENSMUSG00000023723",16750
"ENSMUSG00000023737",10
"ENSMUSG00000023755",4066
"ENSMUSG00000023764",4597
"ENSMUSG00000023781",9
"ENSMUSG00000023791",10290
"ENSMUSG00000023795",427
"ENSMUSG00000023800",366
"ENSMUSG00000023802",0
"ENSMUSG00000023805",6424
"ENSMUSG00000023806",786
"ENSMUSG00000023809",89
"ENSMUSG00000023826",16
"ENSMUSG00000023827",8226
"ENSMUSG00000023828",17
"ENSMUSG00000023829",0
"ENSMUSG00000023830",79
"ENSMUSG00000023832",7676
"ENSMUSG00000023845",63483
"ENSMUSG00000023852",21725
"ENSMUSG00000023861",1467
"ENSMUSG00000023868",64
"ENSMUSG00000023873",1705
"ENSMUSG00000023882",1018
"ENSMUSG00000023883",10121
